,freq,top_func,optional_func,source,new_info_source,events,gamification,importance
0,Ежедневно,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
1,Ежедневно,Проверка баланса,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
2,Ежедневно,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Социальные сети,Другое,Развлекательные мероприятия с участием банка,Нейтрально,3
3,Ежедневно,Проверка баланса,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,3
4,Ежедневно,Участие в акциях и конкурсах,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
5,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Социальные сети,Встречи с финансовыми экспертами,"Нет, это не влияет",5
6,Ежедневно,Проверка баланса,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,Нейтрально,5
7,Ежедневно,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,Нейтрально,3
8,Несколько раз в неделю,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Telegram,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",3
9,Несколько раз в неделю,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
10,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Электронная почта,Другое (Онлайн тренинги),"Да, значительно интереснее",3
